reef_name,Total_fish_count,Total_Select_Species,RBA,y,x
Maiden Cay,15,9,60,,
Malgretoute,367,136,37.05722071,,
Mambo Wall,174,33,18.96551724,,
Mangel Halto,249,151,60.64257028,,
Manoa 1,272,15,5.514705882,,
Manoa 2,139,10,7.194244604,,
Mantas Place,81,28,34.56790123,,
Maria Islands Nature Reserve,135,13,9.62962963,,
Maria La Gorda- Jardin de Gorgonias,118,73,61.86440678,,
Marie-Galante - Patka,161,41,25.46583851,,
Marine Reserve Isla Verde,170,24,14.11764706,,
Martin County MPA,37,3,8.108108108,,
Mato Verde,516,80,15.50387597,,
Mayaguana Cay,95,8,8.421052632,,
Maze,338,87,25.73964497,,
Mckays Reef,308,20,6.493506494,,
MD Leste,86,5,5.813953488,,
MD Site 1,77,1,1.298701299,,
MD Site 2,127,17,13.38582677,,
MD Sul,41,8,19.51219512,,
Media Luna,5,4,80,,
Media Luna West,2,1,50,,
Meninos Alagados,26,7,26.92307692,,
Meninos Corre Agua,19,0,0,,
Mexico Rocks,119,65,54.62184874,,
Mexico Rocks Deep,42,17,40.47619048,,
Miches Bay,0,0,#DIV/0!,,
Miches Site 1,3,1,33.33333333,,
Miches Site 2,3,1,33.33333333,,
Middle Caye,253,139,54.94071146,,
Middle Shoal,131,4,3.053435115,,
Mike's Maze 1,33,16,48.48484848,,
Mike's Maze 2,0,0,#DIV/0!,,
Mike's Reef East,56,50,89.28571429,,
Mike's Reef West,37,30,81.08108108,,
"Minnow Caves, Ball 2",179,13,7.262569832,,
Miragoane Mid Out,17,8,47.05882353,,
Miramar-Calle 16,95,60,63.15789474,,
Miramar-Copacavana,80,15,18.75,,
Molasses Reef,199,52,26.13065327,,
Molasses Winch Hole,122,47,38.52459016,,
"Monica Wreck, Cabeza de Toro",47,18,38.29787234,,
